labels,movie_name,nums,ranking,rate,score,score_num,title
,大明王朝1566,,9.7,,2210001,,
,走向共和,,9.7,,1441794,,
,毛骗 终结篇,,9.6,,26603847,,
,红楼梦,,9.6,,1864810,,
,我的三体·罗辑传,,9.6,,30272798,,
,罗小黑战记,,9.5,,10477598,,
,西游记,,9.5,,2156663,,
,我的三体,,9.5,,27624727,,
,超兽武装之勇者无惧,,9.5,,10728463,,
,生存之民工,,9.5,,2259815,,
,福贵,,9.5,,2357303,,
,虹猫蓝兔七侠传,,9.4,,3204594,,
,武林外传,,9.4,,3882715,,
,小明和王猫,,9.4,,3060442,,
,精灵世纪,,9.4,,4097232,,
,星游记 第一季,,9.4,,6952623,,
,毛骗 第二季,,9.4,,6894818,,
,魔角侦探之大三角计划,,9.4,,11629287,,
,超兽武装之仁者无敌,,9.3,,6126501,,
,父母爱情,,9.3,,19965220,,
"[['剧情', '科幻', '动画']]",,30272798,,9.6,,2016,我的三体·罗辑传‎ (2016)
"[['剧情', '科幻', '动画']]",,27624727,,9.5,,2014,我的三体‎ (2014)
"[['剧情', '历史']]",,2210001,,9.7,,2007,大明王朝1566‎ (2007)
"[['犯罪', '悬疑']]",,26603847,,9.6,,2015,毛骗 终结篇‎ (2015)
"[['剧情', '爱情', '古装']]",,1864810,,9.6,,1987,红楼梦‎ (1987)
"[['剧情', '家庭']]",,2357303,,9.5,,2005,福贵‎ (2005)
"[['剧情', '历史']]",,1441794,,9.7,,2003,走向共和‎ (2003)
"[['儿童', '科幻', '动画', '冒险']]",,10728463,,9.5,,2011,超兽武装之勇者无惧‎ (2011)
"[['剧情', '动作', '奇幻', '冒险', '古装']]",,2156663,,9.5,,1986,西游记‎ (1986)
[['剧情']],,2259815,,9.5,,2005,生存之民工‎ (2005)
"[['剧情', '喜剧', '动作', '动画', '奇幻']]",,10477598,,9.5,,2011,罗小黑战记‎ (2011)
"[['剧情', '儿童', '爱情', '科幻', '动画', '奇幻']]",,4097232,,9.4,,2006,精灵世纪‎ (2006)
"[['动作', '动画', '奇幻', '冒险']]",,6952623,,9.4,,2011,星游记 第一季‎ (2011)
"[['喜剧', '武侠', '古装']]",,3882715,,9.4,,2006,武林外传‎ (2006)
[['动画']],,3060442,,9.4,,2000,小明和王猫‎ (2000)
"[['剧情', '儿童', '动作', '动画', '冒险', '武侠']]",,3204594,,9.4,,2006,虹猫蓝兔七侠传‎ (2006)
"[['儿童', '喜剧', '科幻', '动画', '悬疑', '冒险']]",,11629287,,9.4,,2012,魔角侦探之大三角计划‎ (2012)
"[['犯罪', '悬疑']]",,6894818,,9.4,,2011,毛骗 第二季‎ (2011)
[['动画']],,6126501,,9.3,,2011,超兽武装之仁者无敌‎ (2011)
,外乡人,,9.3,,4102978,,
,三国演义,,9.3,,1830528,,
,山城棒棒军,,9.3,,3010197,,
,阿凡提的故事,,9.3,,27097683,,
,小青天司徒公,,9.3,,25945239,,
,大盗贼,,9.3,,1899125,,
,大宅门,,9.3,,2181930,,
,茶啊二中 第四季,,9.3,,30167116,,
,无悔追踪,,9.3,,2238727,,
,我的团长我的团,,9.3,,2997325,,
,幸福小镇,,9.3,,10771326,,
,士兵突击,,9.3,,2154096,,
,魔角侦探,,9.3,,5392074,,
,济公活佛,,9.3,,26378248,,
,莫莫,,9.3,,4241908,,
,潜伏,,9.2,,3314870,,
,一路向南,,9.2,,5413765,,
,功夫兔与菜包狗,,9.2,,24839102,,
,秦时明月之诸子百家,,9.2,,4246437,,
,红色,,9.2,,25966028,,
"[['剧情', '家庭']]",,4102978,,9.3,,2009,外乡人‎ (2009)
"[['爱情', '家庭']]",,19965220,,9.3,,2014,父母爱情‎ (2014)
[['动画']],,27097683,,9.3,,1979,阿凡提的故事‎ (1979)
[['剧情']],,3010197,,9.3,,1997,山城棒棒军‎ (1997)
"[['剧情', '历史', '战争']]",,1830528,,9.3,,1994,三国演义‎ (1994)
"[['剧情', '悬疑', '家庭', '历史']]",,2238727,,9.3,,1995,无悔追踪‎ (1995)
"[['剧情', '爱情', '家庭', '传记', '历史']]",,2181930,,9.3,,2001,大宅门‎ (2001)
"[['剧情', '喜剧', '动画']]",,30167116,,9.3,,2018,茶啊二中 第四季‎ (2018)
"[['奇幻', '古装']]",,26378248,,9.3,,1990,济公活佛‎ (1990)
"[['儿童', '喜剧', '科幻', '动画', '悬疑', '冒险']]",,5392074,,9.3,,2010,魔角侦探‎ (2010)
[['剧情']],,2154096,,9.3,,2006,士兵突击‎ (2006)
[[]],,25945239,,9.3,,2007,小青天司徒公‎ (2007)
"[['剧情', '儿童', '科幻', '动画', '冒险']]",,4241908,,9.3,,2009,莫莫‎ (2009)
"[['剧情', '喜剧', '动画']]",,1899125,,9.3,,1989,大盗贼‎ (1989)
"[['儿童', '喜剧', '动画', '冒险']]",,10771326,,9.3,,2011,幸福小镇‎ (2011)
"[['历史', '战争']]",,2997325,,9.3,,2009,我的团长我的团‎ (2009)
"[['剧情', '战争']]",,25966028,,9.2,,2014,红色‎ (2014)
"[['剧情', '历史', '战争', '动画']]",,4246437,,9.2,,2010,秦时明月之诸子百家‎ (2010)
"[['剧情', '爱情']]",,3314870,,9.2,,2009,潜伏‎ (2009)
"[['喜剧', '动画', '短片']]",,24839102,,9.2,,2013,功夫兔与菜包狗‎ (2013)
,百变机兽之洛洛历险记,,9.2,,4117005,,
,琅琊榜,,9.2,,25754848,,
,一年又一年,,9.2,,2287919,,
,王阳明,,9.3,,6967976,,
,大秦帝国之裂变,,9.2,,3114220,,
,我爱我家,,9.2,,3901388,,
,茶馆,,9.2,,3271273,,
,黎明之前,,9.2,,4894070,,
,地下交通站,,9.2,,2133474,,
,糊涂小天使,,9.2,,3271141,,
,幸福耙耳朵,,9.2,,4034057,,
,战长沙,,9.2,,20258941,,
,12·1枪杀大案,,9.2,,3003187,,
,亮剑,,9.2,,2254648,,
,贞观之治,,9.2,,2155164,,
,京剧猫（下）,,9.2,,26870064,,
,虹猫仗剑走天涯,,9.2,,25980446,,
,禽兽超人,,9.2,,26807624,,
,围城,,9.2,,1478168,,
,一人之下 第二季,,9.2,,27034748,,
[['纪录片']],,5413765,,9.2,,2012,一路向南‎ (2012)
[['动画']],,4117005,,9.2,,2009,百变机兽之洛洛历险记 洛洛历险记‎ (2009)
"[['剧情', '古装']]",,25754848,,9.2,,2015,琅琊榜‎ (2015)
"[['剧情', '历史', '家庭']]",,2287919,,9.2,,1999,一年又一年‎ (1999)
"[['剧情', '传记', '历史']]",,6967976,,9.3,,2012,王阳明‎ (2012)
[['喜剧']],,3271141,,9.2,,2007,糊涂小天使‎ (2007)
"[['剧情', '历史', '悬疑']]",,4894070,,9.2,,2010,黎明之前‎ (2010)
[['喜剧']],,2133474,,9.2,,2007,地下交通站‎ (2007)
"[['喜剧', '家庭']]",,3901388,,9.2,,1993,我爱我家‎ (1993)
"[['剧情', '历史']]",,2155164,,9.2,,2006,贞观之治‎ (2006)
"[['剧情', '战争']]",,2254648,,9.2,,2005,亮剑‎ (2005)
"[['剧情', '历史']]",,20258941,,9.2,,2014,战长沙‎ (2014)
"[['历史', '战争']]",,3114220,,9.2,,2009,大秦帝国之裂变‎ (2009)
[['剧情']],,3271273,,9.2,,2010,茶馆‎ (2010)
"[['儿童', '动作', '动画', '奇幻', '冒险']]",,26870064,,9.2,,2016,京剧猫（下）‎ (2016)
[[]],,4034057,,9.2,,2006,幸福耙耳朵‎ (2006)
"[['剧情', '悬疑', '惊悚']]",,3003187,,9.2,,1999,12·1枪杀大案‎ (1999)
"[['喜剧', '动作', '动画', '奇幻']]",,27034748,,9.2,,2017,一人之下 第二季‎ (2017)
[['剧情']],,26807624,,9.2,,2015,禽兽超人‎ (2015)
