labels,movie_name,nums,ranking,rate,score,score_num,title
,,,,,26928226,,
,,,,,27202985,,
,,,,,26797690,,
,,,,,30258179,,
,,,,,30196806,,
,,,,,25970953,,
,,,,,26675617,,
,,,,,27202960,,
,,,,,26883064,,
,,,,,27075195,,
,,,,,30409718,,
,,,,,26920281,,
,,,,,26761328,,
,,,,,19965220,,
,,,,,30139731,,
,,,,,25754848,,
,,,,,2210001,,
,,,,,3882715,,
,,,,,26298935,,
,,,,,26999852,,
"[['剧情', '古装']]",,25970953,,4.7,,2019,皓镧传‎ (2019)
"[['喜剧', '武侠', '古装']]",,3882715,,9.4,,2006,武林外传‎ (2006)
[['剧情']],,26797690,,8.9,,2018,大江大河‎ (2018)
"[['动作', '奇幻', '冒险']]",,27202985,,7.9,,2019,怒晴湘西‎ (2019)
[['爱情']],,30258179,,7.3,,2019,奈何boss要娶我‎ (2019)
"[['剧情', '爱情', '古装']]",,26999852,,7.2,,2018,延禧攻略‎ (2018)
"[['剧情', '历史']]",,2210001,,9.7,,2007,大明王朝1566‎ (2007)
"[['剧情', '悬疑', '惊悚']]",,26298935,,8.0,,2016,鬼吹灯之精绝古城‎ (2016)
[['剧情']],,30196806,,7.5,,2019,独家记忆‎ (2019)
"[['剧情', '爱情', '古装']]",,26928226,,7.5,,2018,知否知否应是绿肥红瘦‎ (2018)
"[['剧情', '古装']]",,25754848,,9.2,,2015,琅琊榜‎ (2015)
"[['犯罪', '悬疑']]",,30139731,,6.3,,2018,原生之罪 第一季‎ (2018)
"[['剧情', '爱情', '奇幻', '古装']]",,26920281,,7.7,,2018,香蜜沉沉烬如霜‎ (2018)
"[['爱情', '家庭']]",,19965220,,9.3,,2014,父母爱情‎ (2014)
[['动画']],,30409718,,9.1,,2019,请吃红小豆吧！第二季‎ (2019)
"[['剧情', '犯罪', '悬疑']]",,26883064,,9.0,,2017,白夜追凶‎ (2017)
"[['剧情', '爱情', '古装']]",,26761328,,8.2,,2018,天盛长歌‎ (2018)
"[['爱情', '奇幻', '古装']]",,27075195,,5.6,,2019,招摇‎ (2019)
"[['爱情', '古装']]",,27202960,,6.1,,2019,小女花不弃‎ (2019)
"[['剧情', '悬疑', '冒险']]",,26675617,,6.9,,2018,古董局中局‎ (2018)
,,,,,25812730,,
,,,,,26602244,,
,,,,,26928824,,
,,,,,3901388,,
,,,,,26727273,,
,,,,,26930540,,
,,,,,27172911,,
,,,,,30259908,,
,,,,,27015848,,
,,,,,26828285,,
,,,,,26776350,,
,,,,,1441794,,
,,,,,26581830,,
,,,,,25994712,,
,,,,,26363830,,
,,,,,20258941,,
,,,,,1864810,,
,,,,,27615866,,
,,,,,27624762,,
,,,,,2997325,,
"[['喜剧', '家庭']]",,3901388,,9.2,,1993,我爱我家‎ (1993)
"[['剧情', '悬疑']]",,26928824,,5.9,,2019,天衣无缝‎ (2019)
"[['剧情', '犯罪', '悬疑']]",,26727273,,8.2,,2017,人民的名义‎ (2017)
"[['剧情', '历史', '古装']]",,25812730,,7.4,,2018,如懿传‎ (2018)
"[['犯罪', '悬疑']]",,26930540,,8.2,,2017,无证之罪‎ (2017)
"[['剧情', '爱情']]",,26602244,,8.8,,2016,最好的我们‎ (2016)
"[['剧情', '喜剧', '动作', '动画']]",,27624762,,8.9,,2018,刺客伍六七‎ (2018)
"[['剧情', '爱情', '古装']]",,1864810,,9.6,,1987,红楼梦‎ (1987)
"[['剧情', '爱情']]",,27615866,,7.6,,2018,人不彪悍枉少年‎ (2018)
"[['剧情', '犯罪', '悬疑']]",,26363830,,8.3,,2016,余罪 第一季‎ (2016)
"[['剧情', '历史']]",,20258941,,9.2,,2014,战长沙‎ (2014)
"[['剧情', '历史']]",,1441794,,9.7,,2003,走向共和‎ (2003)
"[['剧情', '悬疑']]",,26776350,,8.2,,2017,河神‎ (2017)
