labels,movie_name,nums,ranking,rate,score,score_num,title
,,,,,27075195,,
,,,,,30409395,,
,,,,,27202985,,
,,,,,25970953,,
,,,,,30258179,,
,,,,,30148258,,
,,,,,30196806,,
,,,,,30409718,,
,,,,,26928824,,
,,,,,30423367,,
,,,,,27202960,,
,,,,,27172911,,
,,,,,30395527,,
,,,,,26675617,,
,,,,,30345127,,
,,,,,27594303,,
,,,,,26928226,,
,,,,,27663745,,
,,,,,30139731,,
,,,,,30402198,,
[['爱情']],,30258179,,7.3,,2019,奈何boss要娶我‎ (2019)
"[['动画', '奇幻', '古装']]",,30345127,,8.3,,2018,少年歌行‎ (2018)
[['动画']],,30409395,,3.9,,2019,领风者‎ (2019)
"[['动作', '奇幻', '冒险']]",,27202985,,7.9,,2019,怒晴湘西‎ (2019)
"[['爱情', '奇幻', '古装']]",,27075195,,5.6,,2019,招摇‎ (2019)
"[['剧情', '古装']]",,25970953,,4.7,,2019,皓镧传‎ (2019)
"[['剧情', '爱情', '古装']]",,26928226,,7.5,,2018,知否知否应是绿肥红瘦‎ (2018)
"[['剧情', '爱情']]",,27663745,,6.2,,2018,喜欢你时风好甜‎ (2018)
"[['剧情', '家庭']]",,27594303,,3.9,,2018,姥姥的饺子馆‎ (2018)
"[['爱情', '动画', '奇幻']]",,30395527,,7.8,,2018,萌妻食神‎ (2018)
"[['爱情', '古装']]",,27202960,,6.1,,2019,小女花不弃‎ (2019)
"[['剧情', '爱情']]",,27172911,,5.8,,2019,幕后之王‎ (2019)
"[['爱情', '悬疑', '惊悚']]",,30423367,,6.9,,2019,亲密侵略者‎ (2019)
[['剧情']],,30196806,,7.5,,2019,独家记忆‎ (2019)
"[['犯罪', '悬疑']]",,30139731,,6.3,,2018,原生之罪 第一季‎ (2018)
"[['剧情', '悬疑', '冒险']]",,26675617,,6.9,,2018,古董局中局‎ (2018)
"[['动画', '奇幻', '武侠', '古装']]",,30402198,,8.1,,2018,雪鹰领主‎ (2018)
"[['剧情', '悬疑']]",,26928824,,5.9,,2019,天衣无缝‎ (2019)
[['动画']],,30409718,,9.1,,2019,请吃红小豆吧！第二季‎ (2019)
"[['爱情', '奇幻', '古装']]",,30148258,,6.3,,2019,绝世千金‎ (2019)
,,,,,30158965,,
,,,,,30312888,,
,,,,,30389234,,
,,,,,30217609,,
,,,,,26797690,,
,,,,,26738639,,
,,,,,26606775,,
,,,,,27624636,,
,,,,,30201023,,
,,,,,30402130,,
,,,,,30352908,,
,,,,,26901432,,
,,,,,30382825,,
,,,,,27615866,,
,,,,,30135448,,
,,,,,30367833,,
,,,,,30367827,,
,,,,,26386688,,
,,,,,30142136,,
,,,,,27172912,,
"[['剧情', '喜剧', '动画', '奇幻']]",,30389234,,7.7,,2018,戏隐江湖‎ (2018)
"[['喜剧', '悬疑', '奇幻', '古装']]",,30217609,,6.9,,2018,重明卫：大明机密‎ (2018)
[['剧情']],,30312888,,6.9,,2018,江河水‎ (2018)
"[['爱情', '奇幻']]",,30158965,,6.5,,2018,我与你的光年距离2‎ (2018)
[['剧情']],,26797690,,8.9,,2018,大江大河‎ (2018)
"[['剧情', '家庭']]",,30201023,,7.1,,2018,那座城这家人‎ (2018)
"[['喜剧', '爱情', '动画', '古装']]",,30402130,,7.4,,2018,通灵妃‎ (2018)
"[['喜剧', '短片']]",,30352908,,7.0,,2018,生活对我下手了‎ (2018)
[['爱情']],,27624636,,6.0,,2018,大约是爱‎ (2018)
[['爱情']],,26606775,,7.0,,2018,浪漫星星‎ (2018)
"[['剧情', '爱情', '家庭']]",,26738639,,6.7,,2018,外滩钟声‎ (2018)
"[['剧情', '爱情']]",,26386688,,5.6,,2018,你和我的倾城时光‎ (2018)
[[]],,30367833,,5.2,,2018,我家徒弟又挂了‎ (2018)
"[['犯罪', '悬疑']]",,30135448,,6.2,,2018,罪案心理小组X‎ (2018)
"[['剧情', '爱情']]",,27615866,,7.6,,2018,人不彪悍枉少年‎ (2018)
"[['剧情', '悬疑']]",,30367827,,5.5,,2018,千门江湖之诡面疑云‎ (2018)
[['剧情']],,27172912,,7.3,,2018,我们的四十年‎ (2018)
[['真人秀']],,30382825,,7.0,,2018,最美的时光‎ (2018)
[['爱情']],,30142136,,3.4,,2018,我的保姆手册‎ (2018)
"[['爱情', '古装']]",,26901432,,4.0,,2018,火王之破晓之战‎ (2018)
,,,,,27180960,,
,,,,,30412240,,
,,,,,26787123,,
,,,,,26705728,,
,,,,,30175347,,
,,,,,26848645,,
,,,,,27186648,,
,,,,,27191348,,
,,,,,27195038,,
,,,,,30351548,,
,,,,,30360057,,
,,,,,27160612,,
,,,,,26469969,,
,,,,,27073039,,
,,,,,26665352,,
,,,,,30122630,,
,,,,,27616489,,
,,,,,26900553,,
,,,,,30337864,,
,,,,,30337186,,
"[['剧情', '古装']]",,26705728,,4.2,,2018,回到明朝当王爷‎ (2018)
"[['剧情', '爱情', '家庭']]",,27180960,,6.8,,2018,幸福一家人‎ (2018)
"[['爱情', '奇幻', '古装']]",,27186648,,5.3,,2018,唐砖‎ (2018)
[['脱口秀']],,30412240,,7.9,,2018,吐槽吐槽大会 第三季‎ (2018)
"[['剧情', '奇幻']]",,26848645,,7.4,,2018,将夜‎ (2018)
[['剧情']],,27073039,,7.8,,2018,正阳门下小女人‎ (2018)
[['爱情']],,26787123,,6.9,,2018,原来你还在这里‎ (2018)
